1,2,4
município,UF,salas
SAO PAULO,SP,295
RIO DE JANEIRO,RJ,199
BELO HORIZONTE,MG,85
BRASILIA *,DF,81
SALVADOR,BA,75
PORTO ALEGRE,RS,74
CURITIBA,PR,73
CAMPINAS,SP,58
RECIFE,PE,49
MANAUS,AM,46
GOIANIA,GO,42
FORTALEZA,CE,37
RIBEIRAO PRETO,SP,35
SAO BERNARDO DO CAMPO,SP,32
BARUERI,SP,27
BELEM,PA,27
LONDRINA,PR,25
SAO LUIS,MA,25
GUARULHOS,SP,24
NATAL,RN,24
SOROCABA,SP,24
CAMPO GRANDE,MS,23
CUIABA,MT,23
SANTOS,SP,22
FLORIANOPOLIS,SC,21
OSASCO,SP,21
SAO JOSE DOS CAMPOS,SP,20
BLUMENAU,SC,18
JOAO PESSOA,PB,18
MARINGA,PR,17
SAO JOSE DO RIO PRETO,SP,17
ARACAJU,SE,15
SANTO ANDRE,SP,15
VITORIA,ES,15
JUIZ DE FORA,MG,14
JUNDIAI,SP,14
MACEIO,AL,14
SAO GONCALO,RJ,14
BAURU,SP,13
SAO JOSÉ,SC,13
UBERLANDIA,MG,13
VILA VELHA,ES,13
CAXIAS DO SUL,RS,12
COTIA,SP,12
JABOATAO DOS GUARARAPES,PE,12
NITERÓI,RJ,12
CONTAGEM,MG,11
PALMAS DO TOCANTINS,TO,11
APARECIDA DE GOIANIA,GO,10
TAUBATE,SP,10
ANAPOLIS,GO,9
DUQUE DE CAXIAS,RJ,9
INDAIATUBA,SP,9
JOINVILLE,SC,9
LIMEIRA,SP,9
MONTES CLAROS,MG,9
PONTA GROSSA,PR,9
SERRA,ES,9
CARUARU,PE,8
FOZ DO IGUACU,PR,8
IMPERATRIZ,MA,8
MARILIA,SP,8
PELOTAS,RS,8
PETROPOLIS,RJ,8
POCOS DE CALDAS,MG,8
RESENDE,RJ,8
SANTA BARBARA DO OESTE,SP,8
TERESINA,PI,8
ARARAQUARA,SP,7
BALNEARIO CAMBORIU,SC,7
CANOAS,RS,7
DIADEMA,SP,7
LINHARES,ES,7
PORTO VELHO,RO,7
PRESIDENTE PRUDENTE,SP,7
SAO CAETANO DO SUL,SP,7
BOA VISTA,RR,6
BRUSQUE,SC,6
CASCAVEL,PR,6
GUARUJA,SP,6
MACAE,RJ,6
PRAIA GRANDE,SP,6
SANTA MARIA,RS,6
SAO JOAO DE MERITI,RJ,6
SAO VICENTE,SP,6
UBERABA,MG,6
VOLTA REDONDA,RJ,6
BENTO GONCALVES,RS,5
CAMPINA GRANDE,PB,5
CAMPOS DOS GOYTACAZES,RJ,5
DIVINOPOLIS,MG,5
HORTOLANDIA,SP,5
JACAREI,SP,5
MARABA,PA,5
MAUA,SP,5
MOGI GUACU,SP,5
MOSSORO,RN,5
NOVO HAMBURGO,RS,5
PIRACICABA,SP,5
POUSO ALEGRE,MG,5
RIO CLARO,SP,5
SANTA CRUZ DO SUL,RS,5
SAO JOSÉ DOS PINHAIS,PR,5
SAO LEOPOLDO,RS,5
SUZANO,SP,5
TABOAO DA SERRA,SP,5
AGUAS LINDAS DE GOIAS,GO,4
ANGRA DOS REIS,RJ,4
CABO SANTO AGOSTINHO,PE,4
CACHOEIRO DE ITAPEMIRIM,ES,4
CARAGUATATUBA,SP,4
CAUCAIA,CE,4
CHAPECO,SC,4
CRICIUMA,SC,4
FEIRA DE SANTANA,BA,4
FRANCA,SP,4
GOVERNADOR VALADARES,MG,4
GUARATINGUETA,SP,4
ITAGUAI,RJ,4
ITAPECERICA DA SERRA,SP,4
LAJEADO,RS,4
LUZIÂNIA,GO,4
MACAPA,AP,4
NOSSA SENHORA DO SOCORRO,SE,4
PALHOÇA,SC,4
PARAUAPEBAS,PA,4
PASSO FUNDO,RS,4
PETROLINA,PE,4
RIO BRANCO,AC,4
SAO CARLOS,SP,4
SETE LAGOAS,MG,4
TUBARAO,SC,4
ARACATUBA,SP,3
BARRETOS,SP,3
BETIM,MG,3
CACHOEIRINHA,RS,3
CAPAO DA CANOA,RS,3
CASTANHAL,PA,3
CATALAO,GO,3
CATANDUVA,SP,3
DOURADOS,MS,3
